Name,Ticker,"Sub-Sector","Market Cap","Percentage Upside","Total no. of analysts","Percentage Sell Reco's","Percentage Hold Reco's","No. of analysts with buy reco","Percentage Buy Reco’s"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","11.016089576579615","30","10","13.333333333333334","23","76.66666666666667"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","4.376189181842895","42","21.428571428571427","28.57142857142857","21","50"
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","14.083890729511781","37","0","8.108108108108109","34","91.8918918918919"
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","17.47559652928416","43","6.976744186046512","13.953488372093023","34","79.06976744186046"
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","23.81277370187113","40","0","2.5","39","97.5"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","10.500445098115113","39","7.6923076923076925","20.51282051282051","28","71.7948717948718"
State Bank of India,SBIN,"Public Banks","540028.25602434","18.492811105602375","42","0","4.761904761904762","40","95.23809523809524"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","12.526701251144342","24","0","4.166666666666666","23","95.83333333333334"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","14.236154132077807","30","10","10","24","80"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996","16.790327012915643","11","0","18.181818181818183","9","81.81818181818183"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","436597.62932058","-8.298083450832946","1","0","100","0","0"
ITC Ltd,ITC,"FMCG - Tobacco","413888.443638345","18.458539511171093","35","0","11.428571428571429","31","88.57142857142857"
Adani Total Gas Ltd,ATGL,"Gas Distribution","399637.98985971",,,"0","0","0",
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","368509.30558332003","36.63822427685018","29","20.689655172413794","20.689655172413794","17","58.620689655172406"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","362046.16158597","15.36559907707521","38","5.263157894736842","36.84210526315789","22","57.89473684210527"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","294630.040908","-66.23655913978494","1","100","0","0","0"
Larsen & Toubro Ltd,LT,"Construction & Engineering","293348.681049345","10.427096557836496","37","2.7027027027027026","0","36","97.2972972972973"
Axis Bank Ltd,AXISBANK,"Private Banks","292010.392901185","10.578695171396982","40","0","5","38","95"
Asian Paints Ltd,ASIANPAINT,"Paints","288069.134756985","11.754622464093734","37","29.72972972972973","27.027027027027028","16","43.24324324324324"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","284913.56362844503","16.10516218702895","2","0","0","2","100"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","282673.90147336","6.790537304855866","40","7.5","27.500000000000004","26","65"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","255592.9595666","27.111132122300877","43","11.627906976744185","16.27906976744186","31","72.09302325581395"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","249898.52029398","8.870340608637044","26","38.46153846153847","30.76923076923077","8","30.76923076923077"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","243820.4196514","15.626845109230462","38","2.631578947368421","7.894736842105263","34","89.47368421052632"
