Name,Ticker,"Sub-Sector","Market Cap","Total Cash Dividend Paid","Net Change in Cash","Change in Working Capital","Free Cash Flow","Operating Cash Flow","Financing Cash Flow","Capital Expenditure","Book Value","Total Liabilities","Total Receivables","Total Assets","Long Term Debt","Investing Cash Flow","Accounts Payable","Additional Paid–in Capital","Share Capital","Cash and Equivalent","Deferred Tax Liabilities (Net)","Deferred Tax Assets (Net)","Long Term Investments","Goodwill & Intangibles","Total Current Assets","Total Current Liabilities","Common Shares Outstanding","Total Debt","Total Deposits – Banks","Total Equity","Total Inventory","Other Liabilities","Reserves & Surplus","Other Assets","Other Current Liabilities","Other Current Assets","Net Property,Plant & Equipment","Loans & Advances","Non Current Liabilties","Non Current Assets","Minority Interest"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","4297","18781","-3072","10509","110654","17289","100145","888984","609638","23640","1498622","237890","-109162","159330","114796","6765","144296","48601",,"286146","29144","347019","308662","676.5994014","319158",,"888984","107778","14485","657924","65153","149332","71305","771160",,"300976","1151603","109499"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","13375","5630","-14255","36954","39949","-33581","2995","89846","51078","34074","140924","6368","-738","8816","0","366","48483",,"3118","223","2888","108310","42351","365.9051373","7818",,"89846","20","2359","88773","6770","33535","25733","19615",,"8727","32614","707"
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","3592.4","34113.22","-82740.12000000001","-14195.81","-11959.57","48124.02","2236.24","248046.57999999984","1874887.72",,"2122934.3","226966.5","-2051.23",,"63119.16","554.55","155385.72999999998",,,"449263.86",,"155385.72999999998","1558003.03","554.5540976",,"1558003.03","248046.58",,"89918.19","183652.46","90910.36",,,"6432.07","1420942.28","316884.69","1967548.57","720.41"
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","12731","-7242","-9036","21724","23885","-24642","2161","75736","40993","22698","116729","4602","-6485","4565","200","2098","24145",,"56","13651","6353","67185","33603","419.3012929","5474",,"75736","0","2788","73052","9621","29038","20342","19863",,"7390","49544","386"
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","1385.23","35555.45","12535.679999999982","56251.46","58111.43","17451","1859.97","188033.3799999999","1568321.7800000003",,"1756355.1600000001","161602.68","-40006.98",,"49764.51","1389.97","183125.99",,,"567097.72",,"183125.99","1091365.79","694.9037464",,"1091365.79","188033.38",,"315353.3100000003","130631.59999999998","75116.57",,,"10706.74","920308.14","476955.9900000003","1573229.1700000002","5980.89"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","7526","-695","-3784","7820","9048","-8015","1228","49087","21419","2236","70506","741","-1728","8950","40352","235","7365","6130",,"2","45207","15522","11280","234.9591262","1043",,"49087","4096","3268","8474","2196","2330","1825","7579",,"10139","54984","26"
State Bank of India,SBIN,"Public Banks","540028.25602434","3569.84","51198.09","-26639.52","54389.59","57694.85","-3844.51","3305.26","316795.45999999996","5054630.13",,"5371425.59","449159.78","-2652.25",,"79115.47","892.46","398905.12",,,"1776489.9",,"398905.12","4087410.6","892.4611534",,"4087410.6","316795.46",,"518059.74999999953","225580.11000000002","360894.51",,,"41060.06","2794076","967219.5299999996","4972520.47","11207.42"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","4153.26","-373.59999999999854","-45267.21","-46161.67","-44027.92","63541.42","2133.75","192630.33999999997","773599.6099999999","368.76","966229.9499999998","477122.92","-19887.1","3810.72","49741.22","362.61","2629.45",,"1446.9","352483.57","5617.62","35595.21","296476.69","181.3028276","507459.52999999997",,"192630.34","0","-1.1641532182693481e-10","129442.29000000001","0","292665.97000000003","32597","7166.330000000001","563920.32","477122.91999999987","930634.7399999999","12777.19"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","1443.8","-1664.2999999999993","-3622.6000000000004","27616.699999999997","55016.6","-15203.2","27399.9","91935","269272.20000000007","4056.2","361207.20000000007","142591.19999999998","-41477.7","37461","58175.5","2795","14355.699999999999",,"17476.199999999997","28487.7","120396.7","52027.899999999994","114026.00000000001","588.431493","169677.9",,"91935","375","12655.000000000058","5583.800000000003","13177.4","76565.00000000001","33241","129641.30000000003",,"155246.20000000004","309179.30000000005","25380.7"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996","0","8748.36","-3782.54","-4499.48","-3782.54","0","716.94","11458.669999999925","4242600.25","0","4254058.92","1.29","12530.9","6763.5","2.1","6325","44724.34",,,"3926212.47","0","198843.85","71522.56","632.49977","1.29",,"11458.67","0","4171076.4000000004","5011.23","111033.88","64759.06","154119.51","17968.719999999998","0","4171077.6900000004","4055215.0700000003","120.34"
