Name,Ticker,"Sub-Sector","Market Cap","Working Capital Turnover Ratio","Current Ratio","Net Income / Liabilities","Long Term Debt to Equity","Inventory Turnover Ratio","Earning Power","Debt to Equity","Days of Sales Outstanding","Days Payable Outstanding","Days of Inventory Outstanding","Cash Conversion Cycle","Asset Turnover Ratio","Quick Ratio","Interest Coverage Ratio"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","10.733348281016443","1.1242686174520997","9.95754857800859","26.75976170549751","5.429094747954605","6.587785312106723","35.90143354661051","10.84079904075002","95.18605462878521","67.23036103532962","14.7548375774","0.5095003453735729","0.7750905521249781","6.76947339550192"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","2.9869701870556287","2.5574366602913745","75.03621911586201","7.087683369320838","2.0714285714285716","37.23354432176208","8.701555995815061","59.8038662321476","107454.74137931033","176.20689655172416","-2337.0490029948","1.4452597853209113","2.5569644164246417","66.92729591836735"
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","-0.1282532997660946",,"2.0296015379523635",,,"2.396370909829852",,,,,,"0.08550563437038171",,
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","3.5184102200141947","1.9993750557985894","53.93603786012247","6.076370550332735",,"25.966126669465172","7.227738459913383","61.834656596953266","10481.306818181818","0","85.5922721532","1.1053870852657866","1.9993750557985894","151.55"
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","-0.18311690147341295",,"1.6010815076482574",,,"1.9495646882718178",,,,,,"0.0945191859170059",,
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","14.379282218597064","1.376063829787234","41.453849386059105","1.5095646505184672","6.042736156351792","16.998553314611524","2.124798826573227","13.782309452228334","138.9074561214369","60.40310060804692","-45.6875961928","0.7596196659149994","1.0129432624113475","113.06603773584905"
State Bank of India,SBIN,"Public Banks","540028.25602434","-0.11535306403927503",,"0.6998312258309585",,,"0.9259856469500114",,,,,,"0.07959194972058821",,
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","-0.604385949092016","0.12006073732137254","2.920721482783584","247.68835480433665",,"2.9239230268115812","263.43696948258514","0.7694854008824609",,,"-37.2207058383","0.16144928426561206","0.12006073732137254",
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","-2.0532851731688213","0.4562810236261904","1.5801482663267796","155.10001631587534","32.72948517940718","8.056124019676234","184.5628976994616","11.504753442077078","1313.2873839348701","11.152023870807833","-141.2207377361","0.3459302634560629","0.4529923000017539","1.7512608177561644"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996","6.311840090204935","2.780155659976377","0.09722127367526706","0.011257851042049382",,"0.2853246799882138","0.011257851042049382","0",,,,"0.17931264102680172","2.780155659976377",
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","436597.62932058","-9.76592621967156","0.705713688871415","1.0401565860532604","79.17319169337024","13.50687861893996","3.4236190764192993","154.49887980594445","66.57857736230153","92.82687275928213","27.023267943504017","27.899234482","0.9194683292268012","0.5509060706804002","1.3769181433797268"
ITC Ltd,ITC,"FMCG - Tobacco","413888.443638345","2.69659280952232","2.8143099432656644","106.04216597155312","0.31600460158221966","2.630208580750669","26.944990169182294","0.39705917700316784","14.488630547494386","57.01968091802678","138.77226417375155","92.5109962649","0.8283419929863369","1.9211490573188603","346.7321220203366"
Adani Total Gas Ltd,ATGL,"Gas Distribution","399637.98985971","-3.6498337649715236","0.24703407484308082","25.482486418344998","16.064281959912755","30.946036182933458","16.573693448842082","42.841947993361565","17.200923258782","41.776534672842324","11.794725432438263","8.4050019036","0.8083355974426721","0.19459337627123272","13.87767874075479"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","368509.30558332003","-3.583967278032513","0.390167183072078","4.163824175540325","350.16968756669974",,"4.472254252786848","377.99531440412375","13.628201246444025",,,"-16.0692278626","0.164804205348796","0.390167183072078",
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","362046.16158597","-0.2417269249244422",,"2.6892220773267352",,,"2.9171136237569444",,,,,,"0.11513620462908064",,
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","294630.040908","-1.3769371568029287","0.48354034569616955","0.8679446219382322","1656.5799540933435","0","5.377073650642874","2021.1170619739862","106.84110244594116",,,"162.9453594683","0.1287451794719668","0.482063754017198","1.211310661062285"
Larsen & Toubro Ltd,LT,"Construction & Engineering","293348.681049345","2.9891925664724432","1.3057552573790467","3.8802801232708575","65.94453275039552","9.171107102600677","7.442610110874727","131.07358788183376","101.50274342663923","325.94146575853654","39.79890278421194","153.6056659414","0.5051154606012763","1.2684775279077116","2.5709465532139766"
Axis Bank Ltd,AXISBANK,"Private Banks","292010.392901185","-0.12819868134621748",,"1.3107346611105681",,,"1.583093053987355",,,,,,"0.07840059854319366",,
Asian Paints Ltd,ASIANPAINT,"Paints","288069.134756985","4.314089670576405","2.0013670603183993","34.598154655487775","4.527825374724719","3.4648729146527484","18.656023081717706","11.175927471408379","40.03115336839602","81.25872075487457","105.34296898926249","70.4797823402","1.3627472279600694","1.1886622489264942","44.89183523739651"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","284913.56362844503","-8.376140172812141","0.7988077812427079","3.304138696968892","252.94289737882164","15.893803480633292","8.565292807555016","271.6739199563894","30.325348335530943","202.15655535817857","22.964924691862148","-0.1472117394","0.2766099114541947","0.7545928000169713","1.719038457472674"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","282673.90147336","3.157170422689045","2.5587749667110518","50.154189113877024","9.002354610844112","13.83529411764706","19.42173389862912","10.229655194658582","80.38434927004775","1344.126984126984","26.381802721088434","44.0062203572","0.9912441132092725","2.5501997336884155","54.13793103448276"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","255592.9595666","109.17894736842155","0.9864833906071017","20.078149259910948","0.05945765223598727","20.2902162186802","6.461412755925543","0.7689735874289535","6.703259438541431","57.810800083872515","17.988965522405945","-14.9215350169","1.2358475836736706","0.7789878697095189","38.102685624012594"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","249898.52029398","12.005498154411647","2.8259691863185283","83.23898967703738","3.707808733657019","10.85952946739492","13.68956588399694","4.729823094059099","0.6483865251420222","10.043024572660217","33.61103269675638","29.7681433164","2.1351183116957575","0.5747317962061579","39.37367540435006"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","243820.4196514","2.4745481905198488","2.035689556438602","17.499451927344285","0.9433066274286409","1.2406397081666325","6.605706540863071","2.5267246712154106","90.28219321136996","153.55438978742924","294.20306120894867","244.8540216198","0.5783520414806789","1.5126359331533004","36.18900667451905"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","233585.258578825","-0.7309712342938706","0.15239303968649726","1.7060593323029591","224.69244534673743",,"3.3803639633834566","243.03283236771088","15.354014627336644",,,,"0.22319803061002458","0.15239303968649726",
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","227459.6920536","4.673319919517103","1.6603881278538812","18.32981864192324","12.214721954355513","2.405504837171277","14.73475552199358","77.94921247187399","5.85221988771398","14.651825837392849","151.73530078169253","189.4465449248","1.5429953231292517","0.3657724505327245","14.321100917431192"
Wipro Ltd,WIPRO,"IT Services & Consulting","211834.91743857","2.6876838147263147","2.0132780244479114","29.242655023421182","10.945007600699727","5.617180984153461","14.610312130624298","26.878060331986344","46.98619973973597","3098.24573125464","64.97921306607276","77.5016940942","0.8573356496528153","2.008951477155895","29.43342723004695"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","202000.7207218","3472.507170794862","0.867267438312415","22.002634572457197","12.454738747320414","4.261778427323934","11.298016118086029","22.403935897316416","19.334394440516736","100.5659552335052","85.64499685385842","41.1376430475","0.6267304257558735","0.5896426677198282","10.023213472917616"
