Name,Ticker,"Sub-Sector","Market Cap","1D Change in Put OI","Highest 1D OI Change CE Strike","1 D Change in Call OI","1D Change in Future OI","Highest 1D OI Change PE Strike","1D Change in Future Volume","Highest 1W OI Change CE Strike","1W Change in Future OI","1W Change in Call OI","Percentage Rollover","Rollover Cost","Put Call Ratio","Highest Put OI Strike","Put Open Interest","Call Open Interest","Future Volume","Future Open Interest","Lot Size","Future Close Price","Basis","Fair Value Spread","Fair Value","Calendar Spread","Highest Call OI Strike","Cash & Carry Profit","1W Change in Future Volume","1W Change in Put OI","Highest 1W OI Change PE Strike"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","8.2050766187171","2560","0.146065374202809","2.69558077037921","2300","24.84472049689441","2420","26.98433685923515","87.97234473715581","1.4569999999999999","0.513","0.5116050478787495","2600","8067500","15769000","7236000","34392750","250","2534.9","20.85","-2.3293015414160436","2537.229301541416","13","2600","2703.40644","-0.4970809007506255","69.52090775372977","2300"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","5.321100917431179","3180","0.076116879980681","-1.1223790104298101","3340","8.34078045874293","3560","28.803574203574204","80.06303539679973","2.315","0.672","0.8501413760603205","3100","3314850","3899175","1909425","9589300","175","3305.5","-5.6","-13.195932859024651","3318.6959328590247","22.2","3400",,"-0.3931108462455304","81.26315789473684","3060"
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","7.359436999326189","1610","0.2332373323733236","0.21679677788275","1500","-9.63516398214632","1840","57.65715948777648","200.88932806324112","4.059","0.616","0.5232621784345922","1600","7887000","15072750","10244300","55425150","550","1607.1","7.4","8.399954399342732","1598.7000456006572","9.9","1640","557.59837","0.0302560982355217","87.45098039215686","1440"
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","20.9091519505808","1620","0.2265777626773124","5.19617712488971","1380","1.44646585147629","1200","30.4107060024121","125.28081123244932","2.363","0.532","0.6234894913611024","1500","7202800","11552400","8163600","33857600","400","1484","8.8","10.35802230140439","1473.6419776985956","7.9","1600","1164.33337","0.2577767506355441","85.56265457543282","1380"
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","2.72305094286517","850","0.185224341354083","7.368966231613849","890","20.89364844903989","1010","24.36986013986014","119.87134227661409","2.74","0.543","0.5208905698076854","900","10219300","19618900","22916600","72557800","700","883.4","4.25","1.3330804384349904","882.066919561565","4.8","920","518.23308","0.4166271297763011","86.87916026625703","790"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","3.18588730911004","2640","0.1674049182831831","1.5921434417082099","2480","89.66026587887741","2560","37.57344632768361","162.19554030874787","0.8200000000000001","0.616","0.5127567709014785","2500","1175700","2292900","2311200","8193000","300","2596.15","12.45","6.427517514147894","2589.722482485852","16","2600","640.67251","-0.2455195377534031","138.6723507917174","2560"
State Bank of India,SBIN,"Public Banks","540028.25602434","-1.2189497265599198","695","0.0881633703719593","0.45159630719981","580","-1.7973265895953698","665","11.476038338658148","107.88459962298171","4.704","0.13999999999999999","0.5910739630973033","600","22488000","38046000","16309500","52717500","1500","609.15","4.05","4.371500318493986","604.778499681506","0.85","620","2451.55772","-0.0919492233171872","82.36224303612698","640"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","1.9644334160463202","2600","0.1597057159026598","-2.19769884315139","2620","5.29707436525326","2640","91.15952732644018","219.5882719900187","1.17","0.424","0.481260979894593","2600","1479300","3073800","2451000","18717600","300","2632.5","10.9","18.269824924256227","2614.230175075744","11.15","2700","130.28217","-0.5960644714723623","102.33894132129669","2440"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","2.21980413492928","750","0.2324961948249619","1.5542211232779801","920","37.139784946236546","890","62.28616352201258","151.41009055627427","2.565","0.494","0.4833796439230215","800","4462150","9231150","6058150","38237500","950","809.25","2.15","-0.3186597014222343","809.5686597014222","4","820","-1018.43346","-0.4700407213496218","88.48314606741575","740"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","436597.62932058","2.99415483717047","4200","0.0400085351541661","0.21852445870087","3150","6.878511916295291","3900","1.6578583581454702","45.8844657288237","5.038","0.049","0.8857201477226098","3500","4317000","4874000","2758000","12497250","250","3848","18.2","-14.394310981588205","3862.394310981588","1.9","4200","727.75044","-0.1650015137753557","81.86413902053712","2700"
ITC Ltd,ITC,"FMCG - Tobacco","413888.443638345","4.092732946946049","330","0.0759507464312956","-3.46847902507616","310","41.056629834254146","352.5","15.4365522745411","98.3328311740484","6.875000000000001","-0.703","0.5911484707312132","320","18678400","31596800","13072000","65904000","1600","334.1","0.65","4.656188429862482","329.44381157013754","-2.35","350","-1089.87267","-0.6468248822029136","70.49802833357674","290"
Adani Total Gas Ltd,ATGL,"Gas Distribution","399637.98985971",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","368509.30558332003","2.52498684902682","6500","0.0486124045446079","8.61263413905659","5700","497.03703703703707","8400","24.202970297029704","219.5232690124858","3.971","0.515","0.519271758436945","6500","2192625","4222500","6851000","6363750","125","6115","14.95","-5.1162218788540486","6120.116221878854","31.5","7000","-1175.26188","2.156233803627987","130.98498814853832","5400"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","362046.16158597","3.4406108050642503","2060","0.0883244627096948","-0.27569762676502","1680","-16.441022169571838","1800","15.594544327340358","110.53043138277077","1.276","0.5459999999999999","0.6625603565680327","1800","4281200","6461600","3950000","32120400","400","1830.5","10.2","-6.237818934334882","1836.7378189343349","10","1900","1173.26195","-0.47908424328744","105.51075268817205","1640"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","294630.040908",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larsen & Toubro Ltd,LT,"Construction & Engineering","293348.681049345","4.77153255155682","2080","0.0989396117900791","-0.3962721068467","2020","9.63914174252276","2320","24.06555863342567","245.94059405940598","1.322","0.441","0.4237468313026412","2100","1554600","3668700","2023500","8143800","300","2099.75","12.4","12.927402489845463","2086.8225975101545","9.25","2100","1220.11825","-0.3793706293706294","102.10608424336971","1940"
Axis Bank Ltd,AXISBANK,"Private Banks","292010.392901185","-1.38405687490545","990","0.0901425022878807","1.2837779751840999","700","-16.49564878555656","1030","7.271706061315236","197.06091913074454","1.683","0.47200000000000003","0.781855249745158","900","15646800","20012400","15429600","42414000","1200","953.5","3.95","-2.840420814066988","956.340420814067","4.5","960","191.14577","0.3322971712775877","171.0810810810811","840"
Asian Paints Ltd,ASIANPAINT,"Paints","288069.134756985","11.60591942998081","2800","0.1359164215437671","1.67553856596762","2760","19.41205452455248","3300","31.675086107921928","162.39456419868793","2.059","0.61","0.7272970800964372","3000","1629000","2239800","1454200","5692000","200","3025.05","20.7","-7.73109631089801","3032.781096310898","18.45","3100","1741.25845","0.0613049189899284","151.1563367252544","2900"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","284913.56362844503",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","282673.90147336","3.8764385221078097","1020","0.0665890570430733","0.55257099002301","1070","34.45216049382715","1090","9.109567901234568","114.96949788831535","2.069","0.529","0.748744815542458","1000","2401000","3206700","2439500","9171400","700","1039.85","-4.25","-4.151199752974435","1044.0011997529743","5.5","1100",,"-0.2315325248070562","65.70048309178745","990"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","255592.9595666","6.71714230246554","9400","0.0614048300446854","-0.88796316597237","8500","-51.76807312344197","8500","9.00479527849502","68.2585163960522","2.194","0.5479999999999999","0.5200567644276254","8000","1099400","2114000","522400","2712300","100","8514.95","53.85","24.26862275464555","8490.681377245355","46.65","9000","2007.23242","-0.573620633365981","66.9805589307412","9700"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","249898.52029398",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","243820.4196514","25.360230547550426","1030","0.4015957446808511","-0.20530048525568","1040","-7.80520346897931","990","16.445350734094617","195.13475673783688","0.9400000000000001","-0.17700000000000002","0.3611242884250474","1000","2131500","5902400","2902200","14971600","700","1017.6","1.4","-1.1404553175519823","1018.740455317552","-1.8","1020","-1859.75038","0.1217532467532467","153.53871773522064","920"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","233585.258578825","0.8881421027364399","1760","0.0845003182686188","3.45173213055189","1400","497.56359727696156","1600","8.978247734138973","124.76912928759891","4.168","0.639","0.6167278063096111","1500","2101500","3407500","8339000","8257000","500","1470","1.15","-2.0092965361639017","1472.009296536164","9.4","1600","-2356.90833","1.5591529845020715","77.6415891800507","1640"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","227459.6920536","3.48127035830618","2960","0.0683480077600358","7.94865891562104","2680","75.04286064168504","2960","14.975298126064736","85.17847904811174","1.765","0.504","0.7100153652744797","2500","1906125","2684625","2680125","7033125","375","2580","17.9","-3.0528301855838436","2583.052830185584","13","2600","2876.92676","-0.1344313915465665","86.73769287288758","2100"
Wipro Ltd,WIPRO,"IT Services & Consulting","211834.91743857","10.81672025723472","375","0.1163614884819845","0.7806317001223","360","-6.577878837095979","390","13.591145833333334","69.79225154407635","6.12","0.502","0.5698412698412698","380","12924000","22680000","8628000","42022500","1500","388.2","1.3","3.196081676986239","385.00391832301375","1.95","400","-366.82337","-0.2106129917657823","55.83288117200218","345"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","202000.7207218","6.02118003025717","8200","0.0634220148783255","0.32971562027749995","6500","-33.01991150442478","7900","31.748878923766817","299.5262908574136","1.097","0.45199999999999996","0.4154612283613944","7000","350400","843400","363300","2190900","100","7049.85","42.85","8.748002018784064","7041.101997981216","31.9","7200","1487.72571","-0.2657639450282942","158.21665438467204","7000"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","190671.7199616","7.655038759689909","22500","0.1445427728613568","-2.36220472440944","21000","83.05274971941638","19750","38.1578947368421","277.431906614786","4.243","0.364","0.572680412371134","18500","44440","77600","65240","238080","40","19853.75","77.75","39.248334864951175","19814.50166513505","72.35","20500","-47.92187","0.2318731117824772","249.3710691823899","18500"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","184301.0903679","-12.509834775767109","150","0.0457956513373098","1.7537171178040298","135.75","-11.60062565172054","150.75","4.00750469043152","547.4091721262656","3.642","-0.16999999999999998","0.3068997240110395","140","12843600","41849500","13055350","30826950","3850","146.85","0.35","6.1063752341523525","140.74362476584764","-0.25","150","-904.1521","-0.0272518646012621","197.0614425645592","150.75"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","180364.20888253002",,,,"-3.5638450502152",,"-21.00221075902726",,"18.699882766705745",,"1.389","0.5519999999999999",,,,,"5788800","22685400","1350","751.75","1.05","13.750530289749577","737.9994697102504","4.15",,"-2628.28798","0.3304374806081291",,
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","177044.9879322","4.22259507829978","810","0.0879858896954073","-0.82889696004776","750","5.31713900134953","900","18.67660414610069","66.07642124883503","0.581","0.67","0.6971567527123083","800","6988125","10023750","4877500","62288750","625","821.5","1.9","1.5571969795045106","819.9428030204955","5.5","900","-857.4604","-0.6525997150997151","46.597613740658176","840"
NTPC Ltd,NTPC,"Power Generation","164746.35761666","5.27415143603133","170","0.1457348918179557","2.0255301192108903","152.5","133.45588235294116","177.5","13.201174743024962","190.4791929382093","2.557","0.059000000000000004","0.437594964184936","160","11491200","26259900","25336500","55124700","5700","170.25","0.35","2.2372775674180048","168.012722432582","0.1","170","-1871.08297","0.3551829268292683","84.78460128322641","167.5"
Tata Motors Ltd,TATAMTRDVR,"Four Wheelers","151860.114896325",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","149775.988491465","7.6059398768562","1260","0.0833829660512208","1.13493064312737","1260","-9.85176034589252","1280","13.619791666666666","215.25129982668977","1.202","0.5559999999999999","0.4083287520615723","1200","2079700","5093200","2043300","11789400","700","1258","5.35","6.150740630662767","1251.8492593693372","7","1280","244.49487","-0.6203173777315296","88.63492063492065","1120"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","145647.45580032","26.44312393887946","200","0.1702380952380953","6.627199473770751","200","62.91651737728412","227.5","5.667352185089975","80.89804931910196","4.96","-0.11900000000000001","0.6061037639877924","210","8043300","13270500","12276900","35013600","2700","210.15","1.35","4.111971987849813","206.0380280121502","-0.25","220","1394.40581","0.2665738161559889","111.12686038270732","207.5"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","142689.02263",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Steel Ltd,TATASTEEL,"Iron & Steel","142464.18818835","-6.66149809160305","118","0.0868362558656459","-2.84829017311464","94","-0.19725422124033","129","28.545129474635544","143.9086575767653","3.044","0.512","0.7113120938053902","100","86080500","121016500","69569500","187973500","5500","117.2","0.65","48.59596385141316","68.60403614858684","0.6","120","1015.95512","-0.1310492558845387","155.73529411764704","125"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","139054.44975541002","9.15014002400411","380","0.1911493777493702","-1.69463118493826","380","4.4700944386149","380","12.969039428420215","117.96353629170966","4.595","0.373","0.6028218806224551","400","27214650","45145425","21280950","75224325","1425","389.25","2.35","389.25",,"1.45","400","1147.7678","-0.2599603567888999","70.60925495801322","345"
Coal India Ltd,COALINDIA,"Mining - Coal","134439.918453505","74.99059796916134","217.5","0.3352531797456204","-0.62849162011172","220","-37.634408602150536","250","4.784552845528455","187.842731505432","9.353","0.046","0.8362688713156002","210","19542600","23368800","11449200","23906400","4200","218.35","0.2","13.983884309911161","204.36611569008883","0.1","230","-2817.69462","0.320736434108527","197.88732394366195","200"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","130981.470679725","17.8546224417784","690","0.3993303911124639","-1.5791144262815402","605","-36.03160064117243","690","20.347676419965577","502.9508196721311","1.617","0.581","0.5448613376835236","580","5511000","10114500","6145700","13643300","1100","610.7","1.25","-0.8071703392802192","611.5071703392803","3.55","600","-1301.29327","0.2735354456348302","354.2157751586582","590"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","127994.7585995","0.34334763948498","2520","0.025947067981318","-0.09611687812379","2350","33.77049180327869","2550","18.071559633027523","72.96587926509186","0.8869999999999999","0.602","0.5912999494183105","2500","292250","494250","408000","2598500","250","2533.05","14.95","-0.41673883434395975","2533.466738834344","15.25","2700","1224.36443","-0.3883058470764617","72.4188790560472","2300"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","126861.19232436","1.7495395948434502","1460","0.7348203221809171","0.06799637352674","1300","-36.20634412047421","1400","33.224806201550386","1427.2727272727273","0.585","0.41900000000000004","0.2630952380952381","1240","828750","3150000","1493250","6622500","750","1277.7","10.05","-3.2049153478549215","1280.904915347855","5.35","1300","3742.04751","-0.1965294592413237","646.6216216216216","1300"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","126007.38104976",,,,"-1.0576457290489198",,"-57.77840748087277",,"8.340701219512194",,"4.773000000000001","0.322",,,,,"223500","1838250","150","4280","19.8","11.85708497411997","4268.14291502588","13.8",,"418.91938","-0.7339285714285715",,
Vedanta Ltd,VEDL,"Metals - Diversified","115479.21347742","25.66870014077897","347.5","0.3978597887227328","-4.22038503786783","277.5","-57.38332058148432","327.5","20.207117255504357","177.4782135076253","2.738","0.655","0.525664932770635","300","10712000","20378000","10026000","33134000","2000","313.2","1.85","16.127254915524077","297.0727450844759","2.05","320","1214.11061","-0.0822379261103585","134.70639789658193","317.5"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","111698.99560953","19.86093003042155","93","0.1832718327183271","-0.02352941176471","56","-23.21899736147757","87","5.82570281124498","159.41573033707863","4.2909999999999995","0.251","0.4778239778239778","75","26890500","56277000","19860750","82855500","9750","79.65","0.55","2.0160188690912264","77.63398113090878","0.2","80","2283.68187","-0.4144869215291751","169.3359375","78"
Grasim Industries Ltd,GRASIM,"Cement","111566.07137088","40.80370942812983","1700","0.1267893660531698","0.24570024570024998","1620","-10.44423440453686","1700","44.971830985915496","373.63896848137534","0.372","0.8869999999999999","0.5511191772534785","1700","432725","785175","900125","7752000","475","1703","4.7","-1.9360894294097761","1704.9360894294098","15.1","1800","-987.90843","0.0106666666666666","329.7169811320755","1640"
Adani Power Ltd,ADANIPOWER,"Power Generation","111369.111921375",,,,,,,,,,,,,,,,,,,,,,,,,,,,
