Name,Ticker,"Sub-Sector","Market Cap","1Y Forward Revenue Growth","1Y Forward EBITDA Growth","1Y Historical EPS Growth","5Y Historical EPS Growth","1Y Fwd Op. Cash Flow Growth","1Y Historical EBITDA Growth","5Y Historical EBITDA Growth","5Y Hist Op. Cash Flow Growth","1Y Hist Op. Cash Flow Growth","5Y Historical Revenue Growth","3Y Historical Dividend Growth","1Y Forward EPS Growth","1Y Historical Revenue Growth"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","28.986256042313954","17.3945169475416","20.21849811405438","12.347133853032188","7.2628702002777885","24.511247602255334","18.274794016992168","17.431522563701975","310.46813561836933","17.93649790443257","7.505459361355671","19.880631875602685","42.147230641013714"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","13.680608054267203","11.097823480621399","19.682874240641713","9.32434266876314","10.182482665398382","17.772687879163055","9.333812978553556","9.633135362938305","2.9560331941652493","9.886695906884002","12.749787911711174","11.077075867682815","17.010836107607986"
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","-27.60081707667592",,"18.864940521285675","18.0522212851012","-101.67230092720725","18.95140372049986","16.701017199646206",,"-128.1557663128628","14.242192722984237","27.37674448553733","14.095861896253757","7.57616113593278"
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","18.26789633359153","11.310866207637101","14.904092726040293","10.788001509249856","8.458028051078088","12.283150548354936","9.304924614564758","15.678235290562537","2.8461935928349984","11.618708459636217","12.972934889491604","11.17493984717844","20.709436755524813"
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","-49.187050960692744",,"31.8953368695997","17.877127840087347",,"30.660935964137682","19.297823266489832","1.9991405680705565","-57.89493628604945","6.796087786041327","70.9975946676697","22.197393461119884","-2.268019312846359"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","11.162478491878911","7.6705296725519","6.687413220894495","12.811654422900354","30.29288240495137","10.851135978297728","13.526752535723286","11.779140590934256","-1.2550474735348685","9.348279577290164","15.616214441920405","10.082789598828708","11.21228051729577"
State Bank of India,SBIN,"Public Banks","540028.25602434","-30.52595054872055",,"57.8806942060973","164.42763207097676","-99.68801372872709","46.35513936771619","69.1416014290484","-5.7085122975642495","-35.83681433931653","6.3857512707167",,"37.95174124737984","5.614604886116958"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","-83.89215365176817","-14.4188299512861","17.869625142596544","12.36270168096867",,"16.582556170237964","17.580272082155645",,"-61.413792054165434","18.862735175885792","12.624788044360624","-32.189798278604464","-0.7225292276580086"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","13.971178647159656","24.4483687008876","127.4071313708735","-2.851792970253819","18.046734985440764","51.44689130842413","10.918277223209838","14.23604941848684","14.13048438958614","4.135738483756701","10.020271746012476","144.2706926980048","8.597415516687557"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996","13.573901482939522","-498.00891968006704","-95.68293059553326",,,"0.05227770041826292",,,"-104.69285889042013",,"-29.107049053072732","46.32890165320484","2.985645102447476"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","436597.62932058","1.7973330281720297","81.98214039606691","-15.832827538369513","4.714211328037954","1818.731231231231","57.525767010226474","12.251072992397383","12.344409429193526","-65.73896139549034","13.52326531850785","35.72088082974534","194.58187038220422","74.81028608671974"
ITC Ltd,ITC,"FMCG - Tobacco","413888.443638345","13.757542954534992","13.2324336493361","15.669339347658603","7.81069990367933","13.076534451184159","14.719375533621447","5.515345118888071","8.221116911117289","25.93236832210823","7.015923613102459","25.99210498948732","19.583813585555376","20.453733662085604"
Adani Total Gas Ltd,ATGL,"Gas Distribution","399637.98985971",,,"10.064387882978266","3.2829683981569158",,"10.93556339466911","25.995191653150673","23.279462917342265","12.581484315225714","22.254341555903643","0",,"76.97590749212624"
