Name,Ticker,"Sub-Sector","Market Cap","Quarterly Total Revenue ","Quarterly PBT","Quarterly PBIT","Quarterly Operating and Other Expenses","Quarterly Net Income","Quarterly EPS","Quarterly EBITDA","Total Revenue","Taxes & Other Items","Selling & Administrative Expenses","Raw Materials","Payout Ratio","Power & Fuel Cost","PBT","PBIT","Operating & Other expenses","Net Income","Interest & Other Items","Earnings Per Share","Employee Cost","EBITDA","Dividend Per Share","Depreciation & Amortization"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","233569","20379","24933","198906","13656","20.18","34663","718061","23437","63557","496369","0.08913969411415865","17902","84142","98726","-7065","60705","14584","89.74677420089225","18775","128523","8","29797"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","56274","14096","14244","40793","10431","28.51","15481","195772","13360","23187","29","0.4127617842226106","0","51687","52471","7927","38327","784","104.17631099493757","107554","57075","43","4604"
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","49182.1","14956.400000000001","14956.400000000001","34225.7","11125.210000000001","20.01","14956.400000000001","167695.4","12820.63","7186.84",,"0.22521883516828614",,"50873.38","50873.38","92057.42","38052.75",,"68.82195260630941","15897.03","52554.11","15.5","1680.73"
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","37122","8391","8457","27636","6021","14.35","9486","123936","8000","4316","0","0.5915489152713704","132","30110","30310","21716","22110","200","52.40479561318929","63986","33786","31","3476"
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","45484.74","11151.46","11151.46","34333.28","8006.989999999999","11.5","11151.46","157536.32","9131.17","8879.539999999999",,"0.13804495420370524",,"34241.27999999999","34241.27999999999","100743.89","25110.109999999993",,"36.22008518052589","12341.6","35571.28999999999","5","1330.01"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","15253","3259","3287","11694","2665","11.35","3559","52887","3000","8164","22871","0.8997151072981192","318","11879","11985","5913","8879","106","37.789740023487404","2545","13076","34","1091"
State Bank of India,SBIN,"Public Banks","540028.25602434","114782.48","20342.479999999996","20342.479999999996","94440","14472.569999999996","16.53","20342.479999999996","406973.08999999997","14364.75","16585.99",,"0.1791286166272969",,"49738.62999999997","49738.62999999997","275512.07","35373.87999999997",,"39.636324634676214","61445.13","53429.899999999965","7.1","3691.27"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","46881.55","8221.230000000003","8221.230000000003","38510.75","6553.480000000003","38.06","8370.800000000003","144937.87","5657.130000000001","84499.39",,"0.2401211109114573",,"28251.82000000002","28251.82000000002","29685.62999999999","22594.69000000002",,"124.93695321550572","2082.11","28670.74000000002","30","418.92"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","35085.4","4265.300000000002","9205.600000000002","16933","2145.2000000000016","3.8","18152.4","122048.4","8228.2","6413.6","0","0.4046896830649516","10489.8","12483.09999999998","29099.29999999998","38521.700000000004","4254.89999999998","16616.2","7.413087423626038","4433.3","62189.99999999998","3","33090.7"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996","223925.51","20772.47","20772.47","203153.04","15854.36","25.07","20772.47","724744.3200000001","8013.17","689023.5599999999",,"0.11682635324665065",,"12137.880000000065","12137.880000000065","-7199.989999999991","4124.710000000065",,"12.839568798600705","30346.68","12574.070000000065","1.5","436.19"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","436597.62932058","38441.46","670.2100000000019","1604.1900000000019","36305.88","467.54000000000184","4.05","2135.5800000000017","70432.68999999999","175.49","2119.86","57651.32","0.14162589922221358","58.98","952.0499999999847","3477.929999999985","4696.260000000004","776.5599999999847","2525.88","7.060855433164679","1180.56","4725.709999999985","1","1247.78"
ITC Ltd,ITC,"FMCG - Tobacco","413888.443638345","17562.67","6238.809999999999","6251.399999999999","10848.89","4608.239999999999","3.73","6713.779999999999","62521.91999999999","5497.81","4858.38","27071.07","0.9291985515093829","889.77","20740.46999999999","20800.459999999992","2279.2800000000025","15242.659999999989","59.99","12.37625691658633","4890.55","22532.86999999999","11.5","1732.41"
Adani Total Gas Ltd,ATGL,"Gas Distribution","399637.98985971","1125.56","187.52999999999997","208.83999999999997","889.29","139.32999999999998","1.45","236.26999999999998","3079.31","169.64","134.53","1938.53","0.053975759864546516","54.24","679.0400000000001","731.7700000000001","82.77999999999986","509.4000000000001","52.73","4.631708763848459","54.73","814.5000000000001","0.25","82.73"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","368509.30558332003","9972.63","3752.289999999999","3752.289999999999","6099.47","2780.649999999999","46.05","3873.159999999999","31640.41","2475.5499999999997","3012.85",,"0.17142943045404033",,"9503.78","9503.78","15149.550000000001","7028.230000000001",,"116.66608205504093","3589.66","9888.35","20","384.57"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","362046.16158597","17513.02","4747.380000000001","4747.380000000001","12765.64","3579.3900000000012","18.17","4747.380000000001","59051.01","3858.91","5385.070000000001",,"0.018045342079838537",,"15948.31","15948.31","30096.350000000002","12089.4",,"60.957558750243564","7140.93","16428.66","1.1","480.35"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","294630.040908","1686","170","668","720","146","0.74","966","5642","64","112",,"0","0","553","3170","1477","489","2617","3.126569918530411","34","4019","0","849"
Larsen & Toubro Ltd,LT,"Construction & Engineering","293348.681049345","43501.14","3942.139999999999","4777.789999999999","37863.18","2262.909999999999","15.86","5637.959999999999","158885.24000000002","5838.330000000001","3680.49","51676.55","0.3564915468669432","2267.26","14507.66000000001","23742.64000000001","44836.82000000001","8669.330000000009","9234.98","61.7125432379783","29733.53","26690.59000000001","22","2947.95"
Axis Bank Ltd,AXISBANK,"Private Banks","292010.392901185","25258.8","7572.740000000002","7572.740000000002","17686.059999999998","5601.970000000001","18.27","7572.740000000002","86114.19","4810.170000000001","5034.84",,"0.021720272364970192",,"18929.460000000003","18929.460000000003","52690.240000000005","14119.29",,"46.03993832106683","8414.06","19975.050000000003","1","1045.59"
Asian Paints Ltd,ASIANPAINT,"Paints","288069.134756985","8575.13","1094.1599999999992","1129.5599999999993","7229.87","782.7099999999991","8.16","1345.2599999999993","29512.86","1157.1499999999999","2949.92","17123.25","0.6061116449545793","117.23","4187.720000000001","4283.130000000001","2436.3","3030.5700000000015","95.41","31.594839266675137","1786.67","5099.490000000001","19.15","816.36"
