Name,Ticker,"Sub-Sector","Market Cap","% From Lower Bollinger Band","% Price above 1M EMA","1W Change in On Balance Volume","1W Change in AD Line","% From Parabolic SAR","% Price above 1M SMA","% Price above 1Y SMA"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","0.8087173683614","-1.0426962769316095","-1.2984140709148897","-0.9983183663747215","0.0019888623707000003","-2.1037158182685","-0.6215574988122"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","3.4590652652264997","-2.124979463251986","-0.9142230862044439","0.07555637973980607","2.0275475302745","1.0743596044452","-2.3875444726133"
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","0.0734930460407","-1.4811109365345798","-2.3688578065701495","-8.14135705529883","-0.45426260112010003","-1.8584441339454","9.3020357495617"
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","0.3967655786079","-4.631631443173356","-4.1233939568780205","-10.03790897011143","-3.7484096173294996","-3.0869996518174","-7.1483555528139995"
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","0.6121830534336","-3.3200472262880143","-1.8464743326814255","-2.712512677412171","-3.1666483092852","-2.7349065684225","8.6833436023013"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","2.9847835584236","-0.8692809297222936","-1.1079486099715867","-0.5055268136527002","2.2417443263885","-1.8312833231536998","7.460290392749699"
State Bank of India,SBIN,"Public Banks","540028.25602434","3.5876626467812","-0.661584095077461","-0.5503901242343382","-45.38570258743573","-2.2708690376024","-0.1588120037125","15.534249002560099"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","0.4166790855677","-1.9890845004010504","-1.6348849323013817","-5.266314763976166","-2.1754543079966","-1.7164751245132999","9.1832000473116"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","1.0850105493056","-2.524428968230019","-0.992381528413116","-0.8190342452916796","-2.1459747817653","-1.5413517783186","9.0885892335469"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996","10.6928924546934","1.4441421545897448","28.614789292158306","0.8446535282088521","-1.3553808620221999","3.4957178966678","65.412850292052"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","436597.62932058","5.2991881652963","-1.028670383299446","-0.26736455441847745","0.037714498070575364","-1.7496151872755001","-1.9124234531191002","42.4259749753048"
ITC Ltd,ITC,"FMCG - Tobacco","413888.443638345","2.5062636739476","0.03384368412537864","0.6998552130202792","0.1082291690292214","2.2852760736196","-0.7286448991136","15.5761825372343"
Adani Total Gas Ltd,ATGL,"Gas Distribution","399637.98985971","10.0656422492587","-0.4100331653165812","-0.05897000524025735","-1.207040796798043","-8.633053728401","2.2425436128306","31.4482232115778"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","368509.30558332003","-2.8660610367764","-7.8570706934544265","-2.620264563986976","-9.192038090569213","-6.5842266462481","-6.566341183228","-9.800687177092799"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","362046.16158597","1.4909626184608","-2.8203159390361554","-2.5163752250465494","-0.9234990308790628","-0.9630032644177999","-0.9807814701387","-0.6757194012409"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","294630.040908","3.3762918010278","-5.003093356438537","-0.480181574146238","-7.461184926668066","0.5405405405404999","-4.8485057762328","-11.466885187972"
