Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","2536.9","27.212486925006672"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","3211.55","31.610835706265295"
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","1594.4","23.444113683343257"
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","1448.5","27.99053598083763"
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","870.1","24.425839272186785"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","2576.45","68.37075057584637"
State Bank of India,SBIN,"Public Banks","540028.25602434","600.65","15.266299767634779"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","2596","21.195491575066512"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","796","109.4948036850225"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996","707.3","111.60380552299986"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","436597.62932058","3824.25","562.2200851454988"
ITC Ltd,ITC,"FMCG - Tobacco","413888.443638345","335.05","27.153295004831524"
Adani Total Gas Ltd,ATGL,"Gas Distribution","399637.98985971","3555.4","784.5268744792106"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","368509.30558332003","5980.4","52.43273279094736"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","362046.16158597","1786.8","29.94740529604199"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","294630.040908","1838.25","602.5154210797547"
Larsen & Toubro Ltd,LT,"Construction & Engineering","293348.681049345","2086.55","33.837526204371585"
Axis Bank Ltd,AXISBANK,"Private Banks","292010.392901185","939.9","20.681662668674203"
Asian Paints Ltd,ASIANPAINT,"Paints","288069.134756985","2978.4","95.05444017362571"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","284913.56362844503","2523.35","236.51934122117947"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","282673.90147336","1032.8","20.940358654223278"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","255592.9595666","8383.05","65.88296418780781"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","249898.52029398","3842.5","167.43058543699152"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","243820.4196514","1008.7","74.5006216985208"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","233585.258578825","1430.35","51.26114738703615"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","227459.6920536","2538.1","104.6754220219052"
Wipro Ltd,WIPRO,"IT Services & Consulting","211834.91743857","382","17.32149190804033"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","202000.7207218","6982.2","27.504383764002323"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","190671.7199616","19885.25","88.89704687560025"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","184301.0903679","147.35","4.048605169704322"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","180364.20888253002","728.35","8.728004301114446"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","177044.9879322","806.1","37.44535064522882"
NTPC Ltd,NTPC,"Power Generation","164746.35761666","169","9.87930832019023"
Tata Motors Ltd,TATAMTRDVR,"Four Wheelers","151860.114896325","205.15","-11.616823719562856"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","149775.988491465","1264.9","22.77158302948076"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","145647.45580032","208.1","8.657088076804246"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","142689.02263","332.8","14.818675109564856"
