Name,Ticker,"Sub-Sector","Market Cap","Promoter Holding Change – 3M","Promoter Holding","Retail Investor Holding","Pledged Promoter Holdings","No. of Shareholders","MF Holding Change – 3M","Insider Trades - 6M Cumulative","Mutual Fund Holding","Insider Trades - 3M Cumulative","Insider Trades - 1M Cumulative","Insurance Firms Holding","FII Holding Change – 6M","FII Holding Change – 3M","Foreign Institutional Holding","DII Holding Change – 6M","DII Holding Change – 3M","Domestic Institutional Holding","Promoter Holding Change – 6M "," MF Holding Change – 6M","Bulk Deals - 6M Cumulative","Bulk Deals - 3M Cumulative","Bulk Deals - 1M Cumulative"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","-0.04811086445857171","50.56710365506743","7.656367630600284","0","3485825","0.04011193971078075",,"5.681866234101257",,,"8.371235609634788","-0.6505645348083213","-0.3143105748794923","23.58200187165735","0.7707666407338643","0.32153168778372176","14.998460272449673","-0.09757573293818211","0.48931796466677113",,,
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","0","72.29704651102202","4.702293612754914","0.3452558795216456","2703966","-0.03956869834306165",,"3.339061536592424",,,"5.130464261453811","-1.0947389614581393","-0.44299468216293825","13.054555438186247","0.7727112062058499","0.2241089332746018","8.581743025448361","0","0.11590452190133771",,,
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","-0.08727614179596088","25.642139227024856","10.29289465603716","0","2520911","-0.025811548737951995","0.09549347886740779","18.004129156364783","0.013832374574811904","0","7.873983723156912","-3.48618737685031","-0.18302144157878075","32.1288179497755","3.1460076319973176","0.5959362591765398","27.704126831383746","-0.1386035131169301","1.726560594890806",,,
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","-0.0006444468385478075","13.11085905700186","7.522162851646283","0","2893209","0.2307543361872746","-0.014679897496686207","15.21407049282587","-0.007699904709738137","0","10.705659246363899","-1.9978161534370997","-0.4226834850882284","31.30156385432602","10.901031920463684","9.126799211313013","28.00087190075306","-0.0033936950744468675","1.7239834579655557",,,
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","0","0","6.659585259199903","0","1797478","-0.3985599052316715",,"28.78766437014487",,,"12.705844671272304","0.8087384782747051","1.2160792899905246","44.762636920100526","0.21595632902675987","-0.5318882863599157","44.79451587609615","0","-0.05815953453732803",,,
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","0","61.900675301370775","10.737064785696331","0","1139754","0.06304722118940154","-0.0001416842177548071","3.7053101281068686","-0.00006507514837702014","0","7.256536775458948","0.38063309753660235","0.7386663919249798","14.042696588816305","0.14017037998330828","-0.4456441922195058","11.74590089193139","0","0.06884418690862448",,,
State Bank of India,SBIN,"Public Banks","540028.25602434","-0.04752528094014252","57.51794495409962","5.910268473222217","0","2837266","0.11396795769167412",,"13.29814557178421",,,"10.49068802983197","-0.015483712918893389","0.33533339451662947","9.954544813739616","0.7356624790099211","0.30980806554686424","25.396029854345077","-0.06931217541315249","0.13519653722199365",,,
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","0","0","7.572747314004589","0","839491","-0.12099575714390376",,"11.587107470306735",,,"8.168010101070013","-1.417627605866997","0.02477890189591392","67.77240084573559","2.1048557992761765","0.06622534485249076","21.091958347918393","0","0.5265425218977349",,,
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","-0.7991228952275193","55.133313049359145","1.2598995330065013","0","779996","-1.4049029950280296","0.010617242745027585","10.743061695910088","0.004059130125450305","0","6.733327792120507","2.51988640073019","3.3390419621406338","21.876172315902988","-0.613592224555024","-1.3313744558333909","18.888623847350562","-0.7991228952275193","-0.9336799838558516","0.05329233797484734","0","0"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996","0","96.49999999264823","1.9309386939491","0","3603679","-0.1047691289903917",,"0.6386957578437229",,,"0.08124874099460166",,"0.052610754300731075","0.1766980721310463",,"-0.14899404625095847","0.9081535000545291",,,,,
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","436597.62932058","0.3496610596753982","72.62708832020526","1.9419219500925387","1.9315712585163327","263609","-0.5243961510104516","0.3624389393782272","1.2692195414078018","0","0","4.026943847189427","-1.0242284986866022","-0.23247126263132856","15.594571858320128","-0.3692595596610637","-0.3543331603443223","5.324116957600781","-2.2916175305757065","-0.7282305947172003",,,
ITC Ltd,ITC,"FMCG - Tobacco","413888.443638345","0","0","11.470492402793647","0","2896358","-0.41217982545055243",,"9.588237052497952",,,"20.723265916594563","30.697559899055133","30.01154634225962","42.68812075692134","-0.378015353917057","-0.4245297774335839","42.39414143782765","0","-0.5026953310092495",,,
Adani Total Gas Ltd,ATGL,"Gas Distribution","399637.98985971","0","74.80050353384512","1.6285658112119707","0","142697","0.005922567996678389","-0.0007154871665238224","0.038539472091746595","0","0","5.778470117917623","-0.3997964801346505","-0.11958146413902071","17.43506355905995","0.6296929903669559","0.2256671436608384","5.817300913034091","0","0.00962620743676161",,,
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","368509.30558332003","0.000007102399038672047","55.863861961881845","7.484420726674755","0","767722","0.32143591586367926","0.05181277058452215","8.718207368093836","0.051137130570885425","0","2.340726418144398","-0.9098554710852547","0.5178710952663899","20.496546621163898","0.9323008689274843","0.12831227130388712","12.157226805069058","3.3034414315125105e-7","0.642553545147365",,,
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","362046.16158597","-0.005738080230507592","25.960389077004308","4.4174390836454664","0","554779","0.9379706150801237","-0.0014781360023785614","9.928047377650254","0.00027984617388909636","0","8.431662855026484","0.06355402230270357","0.375849700964082","40.92640896036529","3.3641805715767674","2.6781061418334993","19.96387209785478","-0.01695408498617823","0.6674331659873047",,,
