Name,Ticker,"Sub-Sector","Market Cap","Return on Assets","Return on Equity","ROCE","Net Profit Margin","5Y Avg EBITDA Margin","Cash Flow Margin","Cost of Goods Sold","EBITDA Margin","Return on Investment","5Y Avg Return on Assets","5Y Avg Return on Equity","5Y Avg Net Profit Margin","5Y Avg Cash Flow Margin","5Y Avg Return on Investment"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","4.307324651513276","7.190763413755851","8.296581397694041","8.454017137819767","17.771396972533115","15.410111397221126","514271","17.898618641034677","6.231800566489701","4.207378787736672","9.681077302724661","8.091196607418198","12.279946566854516","7.293117281641767"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","28.294379069527086","43.318602574680426","53.230600671583495","19.57736550681405","28.923603842421226","20.405880309748074","29","29.153811576732117","40.04648591087811","27.100153141344343","36.796971330305254","20.0459853700159","20.475310860275915","35.21197637192619"
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","1.94025866439243","16.59917984603007","9.005233503891546","22.691588439515932","28.839168537622633","-7.131722158151028",,"31.33902897753904",,"1.8879255605450163","16.94596235853789","19.580572724076035","-5.00524815726016",
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","19.71994291830182","28.993299151575552","36.46271924548276","17.839852827265684","28.05478695771679","19.272043635424733","132","27.260844306738964","27.471986208595002","19.318000461402796","25.82878023967219","18.82620234276506","19.061416948394","24.68982659558261"
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","1.506565060988138","14.138208462043862","5.149146970574881","15.93925134216668","13.80527716310885","36.8876396249449",,"22.579739072234258",,"0.9133519165016833","8.911994275111223","8.690709482744998","45.79745786910495",
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","12.752969564655357","18.348642812122215","20.236044980245165","16.788624803827027","23.96396256796236","17.10817403142549","23189","24.724412426494222","17.923399162178335","25.957324306852193","56.89202185823441","15.98657462543359","17.315732505063263","53.171008138307855"
State Bank of India,SBIN,"Public Banks","540028.25602434","0.6918089051986505","11.752452652561871","3.8736798547811326","8.691945700881591","6.297933487946379","14.176576146594853",,"13.12860759417778",,"0.3214108636049177","5.376325891322891","3.817393427154875","4.293460336580704",
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","2.5168691444847267","12.614000347971436","4.218242998921727","15.58922454152253","20.345367029638993","-30.377098821722715",,"19.78140012682677","3.227398505280475","2.5902092423534007","14.440385776384769","15.599333278478847","-36.86002179678407","3.220044409506614"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","1.205995881944536","4.9143690055993705","11.772456804967357","3.486239885160297","31.504287474439884","45.077690490002325","10489.8","50.95519482434836","7.97785583203274","-2.5272129566989756","-8.800686459194116","-8.682503303527785","33.18851855346953","2.2973707010434414"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996","0.1020515267466561","44.731893425414114","0.29020381307575926","0.569126226473919",,"-0.5219137143427353",,"1.7349663395775305","35.9923594846759",,,,"0",
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","436597.62932058","1.0137655195965833","3.388252377156369","6.023789424312949","1.1025562135990898","6.760042804275363","1.966813989356363","57710.3","6.70954069765046","4.8188010342553085","1.667772547454581","4.952864137735402","1.95015590233858","6.6711375712724745","7.01610786416776"
ITC Ltd,ITC,"FMCG - Tobacco","413888.443638345","20.19473388343338","24.681268065470356","31.98480878197314","24.379705549669605","39.51352655271029","25.23196664465839","27960.84","36.0399520680107","24.262457843352216","19.088273731435617","23.008560322933516","25.74887849652307","26.265027934549217","22.42039130145946"
