Name,Ticker,"Sub-Sector","Market Cap","Value Momentum Rank","Price to Intrinsic Value Rank","Price Momentum Rank","Fundamental Score","Earnings Quality Rank"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","32","52",,"7.71428571428571","24"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","61","44",,"5.65","98"
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","60","57",,"5.66612903225806","16"
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","47","52",,"5.68461538461538","96"
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","68","66",,"5.50322580645161","20"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","61","14",,"6.45555555555556","64"
State Bank of India,SBIN,"Public Banks","540028.25602434","96","86",,"5.48870967741936","18"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","49","45",,"5.09090909090909","12"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","24","38",,"7.06666666666667","56"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996","79",,,"5.01428571428571","30"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","436597.62932058","51","1",,"3.26052631578947","4"
ITC Ltd,ITC,"FMCG - Tobacco","413888.443638345","67","63",,"6.66666666666667","75"
Adani Total Gas Ltd,ATGL,"Gas Distribution","399637.98985971",,"1",,"5.41666666666667","30"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","368509.30558332003","52","40",,"5.89565217391304","11"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","362046.16158597","31","23",,"6.29193548387097","53"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","294630.040908","1","1",,"4.83333333333333","2"
Larsen & Toubro Ltd,LT,"Construction & Engineering","293348.681049345","51","57",,"4.17301587301587","75"
Axis Bank Ltd,AXISBANK,"Private Banks","292010.392901185","94","83",,"4.67258064516129","21"
Asian Paints Ltd,ASIANPAINT,"Paints","288069.134756985","11","8",,"4.66960784313725","63"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","284913.56362844503","26","1",,"4.4375","22"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","282673.90147336","78","67",,"5.91410256410256","93"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","255592.9595666","68","53",,"6.7","37"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","249898.52029398","2","2",,"10","22"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","243820.4196514","60","59",,"4.38285714285714","93"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","233585.258578825","53","32",,,"6"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","227459.6920536","54","5",,"4.55294117647059","17"
Wipro Ltd,WIPRO,"IT Services & Consulting","211834.91743857","56","68",,"4.69871794871795","66"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","202000.7207218","18","29",,"5.23378378378378","56"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","190671.7199616","44","7",,"6.59253731343284","70"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","184301.0903679","91","100",,"10","71"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","180364.20888253002","75",,,"5.27313432835821","62"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","177044.9879322","78","62",,"5.8","36"
NTPC Ltd,NTPC,"Power Generation","164746.35761666","95","87","92","5.11428571428571","47"
Tata Motors Ltd,TATAMTRDVR,"Four Wheelers","151860.114896325","44","42","25",,
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","149775.988491465","79","57",,"7.15","56"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","145647.45580032","89","87",,"5.75625","64"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","142689.02263","93","79",,"6.4375","91"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","142464.18818835","65","84",,,"88"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","139054.44975541002","16","17",,"3.83","44"
Coal India Ltd,COALINDIA,"Mining - Coal","134439.918453505","98","98","64","8.375","97"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","130981.470679725","13","7",,"7.55714285714286","33"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","127994.7585995","29","3",,"5.55555555555556","51"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","126861.19232436","17","4",,,"61"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","126007.38104976","57","35",,"6.84871794871795","56"
Vedanta Ltd,VEDL,"Metals - Diversified","115479.21347742","77","94",,"5.8125","93"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","111698.99560953","91","89",,"5.57142857142857","39"
Grasim Industries Ltd,GRASIM,"Cement","111566.07137088","47","48",,"4.15675675675676","33"
Adani Power Ltd,ADANIPOWER,"Power Generation","111369.111921375","86","55","92","4.68571428571429","46"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","104300.71365089","89","80",,"6.63125","89"
Ambuja Cements Ltd,AMBUJACEM,"Cement","104196.733391775","74",,,"5.26486486486487","85"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","103891.31343072","67","15",,"5.19701492537313","91"
Siemens Ltd,SIEMENS,"Conglomerates","103103.9362276","5","10",,"6.08888888888889","95"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","102463.10369217","72","77",,"7.85","64"
Dabur India Ltd,DABUR,"FMCG - Personal Products","101477.7524006","46","12",,"4.61666666666667","53"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","98512.345756945","39","73",,"4.52307692307692","88"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","95178.920904495","100","93",,"5.64032258064516","11"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","94278.83812474","88","89",,"5.25","84"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","93730.0258947","10","18",,"4.78333333333333","53"
DLF Ltd,DLF,"Real Estate","92267.24384115","48","48","56","6.5","75"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","91901.2403673","1","21",,"6.59375","49"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","89083.6699044","35","55",,"5.54166666666667","41"
Cipla Ltd,CIPLA,"Pharmaceuticals","87844.99134928001","48","46",,"5.07214285714286","83"
Shree Cement Ltd,SHREECEM,"Cement","87452.5170024","16","14",,"6.25405405405405","31"
Varun Beverages Ltd,VBL,"Soft Drinks","85016.3020137","52","18",,"10","54"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","83988.108375","82","69",,"6.7","96"
Interglobe Aviation Ltd,INDIGO,"Airlines","78542.41542894","53",,,"10","53"
Adani Wilmar Ltd,AWL,"FMCG - Foods","74595.053533975","4","4",,"5.44402985074627","57"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","74264.36769084001","96",,,"5.65","66"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","73722.054335745","37","46","62","5.99347826086956","8"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","73115.05437038","7","15",,"5.89285714285714","95"
Bharat Electronics Ltd,BEL,"Electronic Equipments","73061.23939585501","75","42",,"6","98"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","71370.7647705","72","64",,"4.85214285714286","75"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","70962.55488525","17","17",,"6.21791044776119","41"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","67856.96227582","1","16",,"5.65714285714286","29"
SRF Ltd,SRF,"Diversified Chemicals","67196.54357925","8","30",,"5.84444444444444","45"
Marico Ltd,MARICO,"FMCG - Personal Products","66580.88925355","3","22",,"6.29179104477612","84"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","66335.24899572","71","63",,,"40"
GAIL (India) Ltd,GAIL,"Gas Distribution","64008.595024605005","65","95",,"4.25","57"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","63682.943508585","5","12",,"5.37692307692308","81"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","63299.2967476",,"79",,"8.65","31"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","62704.4388006","17","36",,"8.15","53"
Punjab National Bank,PNB,"Public Banks","62487.51329165","97","96",,"5.59838709677419","10"
United Spirits Ltd,MCDOWELL-N,"Alcoholic Beverages","61778.8235493","31","5",,"2.9125","80"
Yes Bank Ltd,YESBANK,"Private Banks","61675.88723868001","50",,,"0.666129032258065","15"
Jindal Steel And Power Ltd,JINDALSTEL,"Iron & Steel","59653.41735285","89",,,"6.10074626865672","95"
Indian Overseas Bank,IOB,"Public Banks","59637.110667680005","20",,,"4.73709677419355","29"
ABB India Ltd,ABB,"Heavy Electrical Equipments","59461.490025","23","6",,"6.22727272727273","92"
Canara Bank Ltd,CANBK,"Public Banks","59412.765753","99","100",,"5.59838709677419","38"
IDBI Bank Ltd,IDBI,"Public Banks","58869.401908125","72",,,"4.64677419354839","12"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","56147.15006145","54","54",,"3.68913043478261","14"
Berger Paints India Ltd,BERGEPAINT,"Paints","55658.3119677","19","10",,"5.12767857142857","27"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","55296.078267594996","39","77",,"5.51666666666667","65"
Union Bank of India Ltd,UNIONBANK,"Public Banks","55088.06457596","100","95",,"5.25161290322581","17"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","54066.26838123","87",,,"4.38529411764706","80"
Tube Investments of India Ltd,TIINDIA,"Cycles","53516.97533034","27","11",,"5.75508474576271","96"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","52839.79432","21","43",,"3.31285714285714","81"
Macrotech Developers Ltd,LODHA,"Real Estate","51879.16481825","40","32",,"5.3375","82"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","51161.9813133","70",,,"2.86440677966102","15"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","50972","49","22",,"6.3","100"
PI Industries Ltd,PIIND,"Diversified Chemicals","50480.47769355","43","18",,"6.00441176470588","36"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","50239.04576229","67","84",,"7.21666666666667","72"
Bosch Ltd,BOSCHLTD,"Auto Parts","50158.9487388","23","40",,"4.79915254237288","26"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","49420.65615924","91","86",,"4.97608695652174","13"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","48943.47448428","66","50",,"4.975","18"
Info Edge (India) Ltd,NAUKRI,"Online Services","47962.937783745","16",,,"6.1","14"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","47184.12164346","54","11",,"5.50147058823529","76"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","46971.90081053","52","30",,"6.45285714285714","99"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","46932.001811379996","29","35","29",,"77"
Zomato Ltd,ZOMATO,"Online Services","46851.6992498","44",,,"4.66666666666667","1"
JSW Energy Ltd,JSWENERGY,"Power Generation","46103.7783536","81","48",,"5.43571428571429","42"
ACC Ltd,ACC,"Cement","45823.84791726","30",,,"5.83378378378378","94"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","45803.07231808","2","9",,"5.88888888888889","95"
Trent Ltd,TRENT,"Retail - Apparel","45498.840133390004","17","1",,"7.15","9"
Container Corporation of India Ltd,CONCOR,"Logistics","45145.66471506","3","41",,"10","68"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","44664.46548489","31",,,"4.67777777777778","19"
United Breweries Ltd,UBL,"Alcoholic Beverages","44439.895418175","37","5",,"8.5","92"
Fsn E-Commerce Ventures Ltd,NYKAA,"Wellness Services","43894.58228415","3",,,"5.91666666666667","2"
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","43757.58492897","82","51",,,"52"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","43586.80941222","46","51",,"2.72857142857143","78"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","43426.5612448","30","80","9","7.21739130434783","54"
Patanjali Foods Ltd,PATANJALI,"Packaged Foods & Meats","42983.26884522","5","30",,"6.15298507462687","48"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","42799.35715",,"100",,"5.52272727272727","12"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","42711.835188","51","24",,"6.05","34"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","42396.83538071","9","39",,"6","90"
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","42251.22655605","23",,,"5.3656862745098","81"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","42088.05202085","9","59",,"7.1","23"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","41476.44925683","10","28",,"6.79444444444444","72"
