Name,Ticker,"Sub-Sector","Market Cap","PS Premium vs Sector","Forward PS Ratio","PS Premium vs Sub-sector","PS Ratio","Price / CFO","Price / Sales","Forward PE Ratio","PE Premium vs Sector","PE Premium vs Sub-sector","PB Ratio","PB Premium vs Sector","PB Premium vs Sub-sector","Price / Free Cash Flow","Sector PB","Sector PE","Sector Dividend Yield","EV/EBITDA Ratio","EV / EBIT Ratio","EV / Free Cash Flow","EV / Revenue Ratio","EV / Invested Capital","Enterprise Value","Dividend Yield vs Sub-sector","Dividend Yield vs Sector","Dividend Yield","PE Ratio"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","190.33315219726845","1.8532336659594688","159.92584090397293","2.3005483082670275","14.928823348297666","2.3005483082670275","23.579548095065483","108.68201350359223","57.42821434177721","1.8582269408476755","27.094147506132","11.165274026363463","157.19231313945474","1.4620869468108437","13.040168852184397","1.8216275494826368","15.06574713306202","19.612817482553027","184.25111987653725","2.696560624769386","1.6027048300469067","1936295.01878253","-0.8604986775258898","-1.4939634206702033","0.3276641288124336","27.212486925006672"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","49.2637580793991","5.280149624702837","36.468856304254295","6.188568845974041","30.327379912238854","6.188568845974041","27.753724636178234","21.303484635310436","15.896862094407403","13.4847238620977","86.68353096181055","77.76841140998474","32.785314177464684","7.223306626258447","26.059297308153045","1.8554224046316583","20.527209813649232","22.328343277506242","31.704023924718026","5.984464071031761","11.996134707917246","1171590.50011403","-0.5697475831732781","-0.5567603285844231","1.2986620760472352","31.610835706265295"
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","166.5981448945447","7.282598874253454","38.07941298314459","5.319841790316492",,"5.319841790316492","20.304878825312333","2.8400846538576836","-4.986592630626292","3.5965543123547223","52.482747338504275","23.60643146960134",,"2.358663111158764","22.79666898588442","0.8987054277845777","14.032159938848553","14.495747618181458",,"4.397542669410372","2.9730209421304665","737447.6769638401","0.4033537864511193","0.0648035158193907","0.9635089436039684","23.444113683343257"
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","20.438857509146686","4.143624133238617","10.114828611787187","4.993470424544281","25.91043544217375","4.993470424544281","24.86225777106469","7.4109391740212756","2.623521841174252","8.171421127816627","13.125768441167336","7.723418566761524","28.487882090605783","7.223306626258447","26.059297308153045","1.8554224046316583","17.77617209898538","19.814772370053447","27.64618627031486","4.8459345996023755","7.395465466522842","600585.75053632","0.23192228709226703","0.244909541681122","2.1003319463127803","27.99053598083763"
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","95.10833387838291","7.553334616832597","1.0526319329904963","3.8932959140275076","10.554472863031076","3.8932959140275076","19.658834161771352","7.146527798912811","-1.0078927080098727","3.2618437799018998","38.29205894094054","12.10309497064648","10.903459411843354","2.358663111158764","22.79666898588442","0.8987054277845777","12.262428800499787","12.738729713577591","7.754294927934848","2.768824427071357","2.319749881467482","436190.41096693","0.006340450858235203","-0.3322098197734934","0.5664956080110843","24.425839272186785"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","117.77974523992252","10.296909206385214","2.913870277279699","11.478508789739255","67.09371069440097","11.478508789739255","61.933894230769226","39.881999146217474","0.5785087494221771","12.367101154336993","34.07392444026851","1.599676696443756","77.62965401060613","9.224091266043816","48.87744741507376","1.423352309122852","45.944317403100335","50.12664950879766","76.82453892109207","11.359462521280088","11.984198969936964","600767.89436294","0.001161476888393187","-0.10741005576526419","1.3159422533575877","68.37075057584637"
State Bank of India,SBIN,"Public Banks","540028.25602434","-33.501906111107495","1.8959308607212484","14.76139531255053","1.3269384863366276","9.360077303682045","1.3269384863366276","10.985021671939867","-33.03276115871317","2.089974020002447","1.7046590756835345","-27.727742566590205","36.91789404911427","9.928889995757277","2.358663111158764","22.79666898588442","0.8987054277845777","2.8510357688174635","3.0626206637444615","2.8007299930802954","0.3743012984576944","0.4808482925365789","152330.5560243401","-0.007799899570676061","0.274654321164263","1.1733597489488408","15.266299767634779"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","65.58706643741334","20.159971445050466","8.960953789217132","3.304212774316609",,"3.304212774316609","30.64211520302172","-7.023734089438016","6.910208397104129","2.48613775761513","5.40452961905782","12.771790953684148",,"2.358663111158764","22.79666898588442","0.8987054277845777","34.75713677206236","35.272518072684846",,"6.875448297510099","1.423407014211247","996512.83153624","0.07499202260770321","0.23702680521610542","1.1357322330006832","21.195491575066512"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","18.267089259206443","3.367300276261682","25.115832844185057","3.817251518245221","8.468161249502877","3.817251518245221","43.958471393859064","131.62790576953728","575.3632991248246","5.067596021095339","-24.935158508938084","-88.78462621573414","16.869844702640073","6.750958132241903","-346.1968189828221","0.7292787809264867","10.397046795295067","22.22020255468002","23.41309208556417","5.297835450521268","2.4715613801895855","646592.3401994","-0.052099194600752075","-0.3503703261127316","0.37890845481375507","109.4948036850225"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996","-68.16931321177583","0.543501397026486","-38.82917659452799","0.6351665269743403",,"0.6351665269743403","37.6463700234192","389.56189867960256","42.861303366358655","40.17336503091397","1603.2260707709802","561.0471621139772",,"2.358663111158764","22.79666898588442","0.8987054277845777","33.062534460105425","34.25067826331928",,"0.5736238438940507","36.27679526619465","415730.62267878","-0.005601047029593048","-0.692604850735547","0.20610057704903076","111.60380552299986"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","436597.62932058","111.13659434613552","5.866151793637184","15.35198437758278","6.198792482873792","315.1692288350225","6.198792482873792","183.85817307692307","923.412433112051","-34.596493923843994","16.2132958408021","220.07258089762573","-1.4687532175651574",,"5.06550601595826","54.935827136266845","0.5805016216087817","101.33813528984672","137.69530707075245",,"6.799323429512348","6.987857412268941","478894.63932057994","0.00031746583939776946","-0.5553111485246404","0.025190473084141365","562.2200851454988"
ITC Ltd,ITC,"FMCG - Tobacco","413888.443638345","25.598082283211667","5.805272104091692","2.711976435978862","6.619893369211071","26.236137128900744","6.619893369211071","22.638513513513512","-44.44616803688183","1.269874554886929","6.588285952620401","-28.575230203179718","2.6258804288976854","30.35737055130678","9.224091266043816","48.87744741507376","1.423352309122852","17.64468900936033","19.11426399408211","29.16160148500352","6.359137461523015","6.303745453175857","397585.483638345","0.03652566347552755","2.000696982051184","3.424049291174036","27.153295004831524"
Adani Total Gas Ltd,ATGL,"Gas Distribution","399637.98985971","3676.176110309423",,"3320.837457036263","129.7816685750087","543.1930487953433","129.7816685750087",,"2864.409725397948","2432.882427753922","165.39732966634384","4637.53420815975","2723.0650887937322",,"3.491211301049177","26.464859690537352","1.5970281603857173","491.88315513776536","547.4928322556403",,"130.10668944007259","116.0804284244058","400638.82985970995","-0.9640866032395593","-1.590148120756689","0.006880039629028263","784.5268744792106"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","368509.30558332003","483.6664940668635","12.686381848447896","96.48784629614043","11.646792996150177",,"11.646792996150177","32.519847743338765","130.00172886404343","63.39184025846023","8.430259166922008","257.41684037193386","104.74260452240492",,"2.358663111158764","22.79666898588442","0.8987054277845777","53.60458778090581","55.77369484387474",,"16.752656668586784","2.5368490031081445","530060.92558332","-0.19268134505905493","-0.5712890874861651","0.32741634029841254","52.43273279094736"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","362046.16158597","207.25221585914815","13.52899698902021","59.13541191512522","6.131074838279142","43.00862338705202","6.131074838279142","26.58928571428571","31.367461248769587","21.369698913813103","3.726083411903565","57.974379396344354","28.058089466730483","46.72636574412834","2.358663111158764","22.79666898588442","0.8987054277845777","18.83176543832364","19.398962748151373","39.92925750507472","5.239210499294932","3.1840641074890494","309380.67158597003","-0.49985544491624795","-0.8384057155479766","0.060299712236601175","29.94740529604199"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","294630.040908","1419.4374666386868","39.28306894859813","245.88488184934684","52.22085092307693","96.28432709411766","52.22085092307693","459.5625","2176.662064810369","772.8406690622332","112.71233393573071","3128.459242838108","1944.6162191997146",,"3.491211301049177","26.464859690537352","1.5970281603857173","85.9338245603384","108.9489088037855",,"61.21376123856789","6.228908143202395","345368.040908",,,,"602.5154210797547"
Larsen & Toubro Ltd,LT,"Construction & Engineering","293348.681049345","-37.11356146310274","1.6234954938097963","16.476434802218453","1.846292840350337","15.307613767852613","1.846292840350337","26.391980774095625","-38.40535772686464","2.011979420306316","3.068841758878917","-39.41687663165526","9.934179850261687","18.27381765029761","5.06550601595826","54.935827136266845","0.5805016216087817","14.344437535826104","16.125481456541685","23.84991550147138","2.4096731770008653","1.7333319617823897","382861.501049345","0.10050299356915049","0.4732150883293289","1.0537167099381106","33.837526204371585"
Axis Bank Ltd,AXISBANK,"Private Banks","292010.392901185","69.93467060483079","5.013993406678659","-11.985585751616313","3.3909671902062253","10.378053079051119","3.3909671902062253","14.457775726811258","-9.277698941541932","-16.18214845925939","2.4637651091234867","4.455998716708986","-15.32528451692373","10.925126743840153","2.358663111158764","22.79666898588442","0.8987054277845777","9.007648686796026","9.505196286697295","6.731742420913877","2.0894144495951825","1.5180997428341365","179928.232901185","-0.4550305482133725","-0.7935808188451011","0.10512460893947664","20.681662668674203"
Asian Paints Ltd,ASIANPAINT,"Paints","288069.134756985","483.4860102611785","8.038737037737574","21.72890114632343","9.760800368279625","292.014247237159","9.760800368279625","68.23367697594502","592.9988885702485","9.784887813160251","20.287858923141204","662.2880743392656","24.79398043062937","642.6528382754824","2.661442518397821","13.71639143169999","2.279245572413523","56.27984656445742","67.0067251652378","640.2643943267931","9.724523978936132","18.18060687794193","286998.514756985","0.02788609832376776","-1.641598720938242","0.6376468514752812","95.05444017362571"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","284913.56362844503","560.8730525794068","22.24685178633423","268.3687013976694","22.713243496735874","69.5486179129683","22.713243496735874","203.49596774193546","793.7109207714719","-35.740073982710854","25.885936821736703","641.4600432221755","178.30296618331158",,"3.491211301049177","26.464859690537352","1.5970281603857173","57.18979818782123","77.2659573449479",,"25.041582918002238","7.678641997219757","314120.113628445",,,,"236.51934122117947"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","282673.90147336","-21.37863037708799","2.7849345120331375","-28.118060729748738","3.25969119990498","16.726266359370417","3.25969119990498","19.3862036602534","-19.643425505292615","-23.22500165109751","4.5588152997026095","-36.887418247894594","-39.901375658307515","18.52991815623468","7.223306626258447","26.059297308153045","1.8554224046316583","12.513146021177997","15.647591283923568","17.714447818640448","3.1162377069738696","3.9537359942846275","270233.90147336","2.1635838654006907","2.176571119989546","4.031993524621204","20.940358654223278"
